Cod_comp;Fecha;Demanda;Fotovoltaica
2022-09-07h13;2022-09-07;486.249;333.771
2022-09-07h14;2022-09-07;506.948;356.62
2022-09-07h15;2022-09-07;461.236;323.704
2022-09-07h16;2022-09-07;386.485;275.652
2022-09-07h17;2022-09-07;334.522;174.495
2022-09-07h18;2022-09-07;293.998;62.2508
2022-09-07h19;2022-09-07;231.658;12.1447
2022-09-07h20;2022-09-07;179.053;0
2022-09-07h21;2022-09-07;139.048;0
2022-09-07h22;2022-09-07;116.427;0
2022-09-07h23;2022-09-07;111.279;0
2022-09-07h24;2022-09-07;114.308;0
2022-09-08h01;2022-09-08;109.977;0
2022-09-08h02;2022-09-08;109.649;0
2022-09-08h03;2022-09-08;106.441;0
2022-09-08h04;2022-09-08;104.288;0
2022-09-08h05;2022-09-08;103.609;0
2022-09-08h06;2022-09-08;109.639;0
2022-09-08h07;2022-09-08;135.576;2.62656
2022-09-08h08;2022-09-08;208.427;19.3652
2022-09-08h09;2022-09-08;329.907;114.079
2022-09-08h10;2022-09-08;367.316;213.499
2022-09-08h11;2022-09-08;413.599;281.858
2022-09-08h12;2022-09-08;464.303;340.577
2022-09-08h13;2022-09-08;475.957;366.188
2022-09-08h14;2022-09-08;492.161;368.451
2022-09-08h15;2022-09-08;459.416;350.924
2022-09-08h16;2022-09-08;378.754;298.446
2022-09-08h17;2022-09-08;320.777;225.572
2022-09-08h18;2022-09-08;282.859;124.018
