Cod_comp;Fecha;Demanda;Fotovoltaica
2022-08-03h11;2022-08-03;537.682;275.479
2022-08-03h12;2022-08-03;571.775;320.651
2022-08-03h13;2022-08-03;594.532;340.832
2022-08-03h14;2022-08-03;572.517;342.113
2022-08-03h15;2022-08-03;524.525;332.781
2022-08-03h16;2022-08-03;392.663;295.667
2022-08-03h17;2022-08-03;280.145;239.837
2022-08-03h18;2022-08-03;213.453;168.614
2022-08-03h19;2022-08-03;173.073;68.0464
2022-08-03h20;2022-08-03;134.786;0.255677
2022-08-03h21;2022-08-03;128.675;0
2022-08-03h22;2022-08-03;123.45;0
2022-08-03h23;2022-08-03;112.961;0
2022-08-03h24;2022-08-03;115.586;0
2022-08-04h01;2022-08-04;114.335;0
2022-08-04h02;2022-08-04;112.541;0
2022-08-04h03;2022-08-04;113.313;0
2022-08-04h04;2022-08-04;110.603;0
2022-08-04h05;2022-08-04;109.546;0
2022-08-04h06;2022-08-04;117.453;0
2022-08-04h07;2022-08-04;154.298;12.6281
2022-08-04h08;2022-08-04;354.156;56.9197
2022-08-04h09;2022-08-04;424.026;113.029
2022-08-04h10;2022-08-04;472.579;216.277
2022-08-04h11;2022-08-04;507.612;280.664
2022-08-04h12;2022-08-04;536.076;326.534
2022-08-04h13;2022-08-04;530.279;350.634
2022-08-04h14;2022-08-04;520.497;353.24
2022-08-04h15;2022-08-04;470.443;331.499
2022-08-04h16;2022-08-04;352.193;294.426
2022-08-04h17;2022-08-04;242.601;236.862
2022-08-04h18;2022-08-04;183.881;165.121
2022-08-04h19;2022-08-04;159.694;68.5469
2022-08-04h20;2022-08-04;138.344;0.734318
2022-08-04h21;2022-08-04;132.51;0
2022-08-04h22;2022-08-04;123.841;0
2022-08-04h23;2022-08-04;110.774;0
2022-08-04h24;2022-08-04;111.96;0
2022-08-05h01;2022-08-05;109.662;0
2022-08-05h02;2022-08-05;108.117;0
2022-08-05h03;2022-08-05;107.096;0
2022-08-05h04;2022-08-05;106.622;0
2022-08-05h05;2022-08-05;105.473;0
2022-08-05h06;2022-08-05;115.301;0
2022-08-05h07;2022-08-05;139.095;8.10617
2022-08-05h08;2022-08-05;318.519;34.159
2022-08-05h09;2022-08-05;438.643;121.542
2022-08-05h10;2022-08-05;486.17;212.317
2022-08-05h11;2022-08-05;509.424;275.761
2022-08-05h12;2022-08-05;535.431;312.529
2022-08-05h13;2022-08-05;539.721;350.141
2022-08-05h14;2022-08-05;530.049;354.901
2022-08-05h15;2022-08-05;445.828;331.578
2022-08-05h16;2022-08-05;292.95;286.294
2022-08-05h17;2022-08-05;176.54;232.508
2022-08-05h18;2022-08-05;154.074;159.394
2022-08-05h19;2022-08-05;136.672;64.9233
2022-08-05h20;2022-08-05;129.219;0.240588
2022-08-05h21;2022-08-05;133.336;0
2022-08-05h22;2022-08-05;117.972;0
2022-08-05h23;2022-08-05;112.693;0
2022-08-05h24;2022-08-05;112.865;0
2022-08-08h01;2022-08-08;99.442;0
2022-08-08h02;2022-08-08;100.56;0
2022-08-08h03;2022-08-08;99.001;0
2022-08-08h04;2022-08-08;98.645;0
2022-08-08h05;2022-08-08;98.832;0
2022-08-08h06;2022-08-08;105.057;0
2022-08-08h07;2022-08-08;132.675;9.93381
2022-08-08h08;2022-08-08;307.454;36.2129
2022-08-08h09;2022-08-08;388.977;125.139
2022-08-08h10;2022-08-08;411.343;216.427
2022-08-08h11;2022-08-08;410.983;283.861
2022-08-08h12;2022-08-08;433.883;323.889
2022-08-08h13;2022-08-08;468.404;356.248
2022-08-08h14;2022-08-08;465.767;366.957
2022-08-08h15;2022-08-08;418.272;348.238
2022-08-08h16;2022-08-08;277.612;310.272
2022-08-08h17;2022-08-08;205.094;245.385
2022-08-08h18;2022-08-08;178.204;155.536
2022-08-08h19;2022-08-08;147.976;58.4708
2022-08-08h20;2022-08-08;114.823;0.7759
2022-08-08h21;2022-08-08;110.088;0
2022-08-08h22;2022-08-08;108.541;0
2022-08-08h23;2022-08-08;102.493;0
2022-08-08h24;2022-08-08;100.631;0
2022-08-09h01;2022-08-09;100.076;0
2022-08-09h02;2022-08-09;98.79;0
2022-08-09h03;2022-08-09;82.766;0
2022-08-09h04;2022-08-09;70.364;0
2022-08-09h05;2022-08-09;80.675;0
2022-08-09h06;2022-08-09;88.987;0
2022-08-09h07;2022-08-09;103.986;8.6271
2022-08-09h08;2022-08-09;223.065;36.4233
2022-08-09h09;2022-08-09;279.943;128.38
2022-08-09h10;2022-08-09;301.261;214.505
2022-08-09h11;2022-08-09;334.201;284.906
2022-08-09h12;2022-08-09;363.403;334.72
2022-08-09h13;2022-08-09;367.605;363.012
2022-08-09h14;2022-08-09;385.86;369.378
2022-08-09h15;2022-08-09;362.077;347.352
2022-08-09h16;2022-08-09;232.253;295.946
2022-08-09h17;2022-08-09;156.367;229.558
2022-08-09h18;2022-08-09;136.159;138.864
2022-08-09h19;2022-08-09;149.568;52.9629
2022-08-09h20;2022-08-09;125.811;1.55399
2022-08-09h21;2022-08-09;127.875;0
2022-08-09h22;2022-08-09;115.64;0
2022-08-09h23;2022-08-09;103.122;0
2022-08-09h24;2022-08-09;102.38;0
2022-08-16h01;2022-08-16;88.73;0
2022-08-16h02;2022-08-16;89.573;0
2022-08-16h03;2022-08-16;88.57;0
2022-08-16h04;2022-08-16;87.802;0
2022-08-16h05;2022-08-16;89.576;0
2022-08-16h06;2022-08-16;95.179;0
2022-08-16h07;2022-08-16;108.857;8.6769
2022-08-16h08;2022-08-16;273.235;41.1281
2022-08-16h09;2022-08-16;342.811;119.312
2022-08-16h10;2022-08-16;390.641;192.102
2022-08-16h11;2022-08-16;437.95;268.041
2022-08-16h12;2022-08-16;460.595;308.857
2022-08-16h13;2022-08-16;464.929;340.427
2022-08-16h14;2022-08-16;454.309;349.985
2022-08-16h15;2022-08-16;408.216;339.297
2022-08-16h16;2022-08-16;300.897;295.911
2022-08-16h17;2022-08-16;200.805;230.635
2022-08-16h18;2022-08-16;167.093;153.556
2022-08-16h19;2022-08-16;154.634;52.9384
2022-08-16h20;2022-08-16;121.224;0
2022-08-16h21;2022-08-16;119.557;0
2022-08-16h22;2022-08-16;106.734;0
2022-08-16h23;2022-08-16;103.021;0
2022-08-16h24;2022-08-16;101.331;0
2022-08-17h01;2022-08-17;83.39;0
2022-08-17h02;2022-08-17;83.123;0
2022-08-17h03;2022-08-17;82.358;0
2022-08-17h04;2022-08-17;79.935;0
2022-08-17h05;2022-08-17;78.338;0
2022-08-17h06;2022-08-17;77.386;0
2022-08-17h07;2022-08-17;98.938;5.47753
2022-08-17h08;2022-08-17;193.716;28.1586
2022-08-17h09;2022-08-17;249.255;118.33
2022-08-17h10;2022-08-17;305.296;210.098
2022-08-17h11;2022-08-17;331.708;272.526
2022-08-17h12;2022-08-17;350.564;318.79
2022-08-17h13;2022-08-17;302.726;336.899
2022-08-17h14;2022-08-17;367.8;323.21
2022-08-17h15;2022-08-17;339.65;307.558
2022-08-17h16;2022-08-17;243.792;277.343
2022-08-17h17;2022-08-17;188.306;220.444
2022-08-17h18;2022-08-17;143.72;139.986
2022-08-17h19;2022-08-17;134.97;46.3698
2022-08-17h20;2022-08-17;119.819;0
2022-08-17h21;2022-08-17;111.647;0
2022-08-17h22;2022-08-17;106.026;0
2022-08-17h23;2022-08-17;104.28;0
2022-08-17h24;2022-08-17;98.478;0
2022-08-18h01;2022-08-18;95.739;0
2022-08-18h02;2022-08-18;96.808;0
2022-08-18h03;2022-08-18;95.393;0
2022-08-18h04;2022-08-18;95.305;0
